Date,Open,High,Low,Close,Volume,SOURCE: Pocket Portfolio API
01/01/2010,104.84,107.23,100.41,100.55,229355400,
02/01/2010,101.21,104.39,98.36,103.30,214258200,
03/01/2010,103.67,109.53,103.58,108.61,171222100,
04/01/2010,109.24,112.58,108.50,110.10,212147400,
05/01/2010,110.57,111.82,97.75,101.47,412859200,
06/01/2010,100.67,105.96,97.59,97.73,282428800,
07/01/2010,97.75,105.93,96.17,104.70,218440900,
08/01/2010,106.08,107.37,99.37,100.20,167266900,
09/01/2010,101.36,109.52,101.33,107.91,125993800,
10/01/2010,108.55,112.55,107.07,111.31,131885300,
11/01/2010,111.68,114.63,109.40,110.17,140835200,
12/01/2010,111.68,115.98,111.59,115.63,124823300,
01/01/2011,116.41,119.94,115.56,118.60,171137800,
02/01/2011,119.16,123.64,119.08,122.15,132276200,
03/01/2011,122.40,123.58,115.51,123.02,192920200,
04/01/2011,123.59,128.12,120.65,128.04,126745900,
05/01/2011,128.60,128.63,122.80,125.50,154591700,
06/01/2011,125.13,125.18,118.49,123.83,146290300,
07/01/2011,124.09,127.37,120.64,121.13,146856200,
08/01/2011,122.74,122.96,105.94,115.95,359056000,
09/01/2011,116.09,117.03,105.72,108.93,236814200,
10/01/2011,108.21,122.58,103.84,119.34,210863300,
11/01/2011,116.90,121.75,112.14,120.19,189762300,
12/01/2011,120.01,123.00,117.05,121.85,135753500,
01/01/2012,123.94,128.13,122.59,126.07,129418700,
02/01/2012,127.07,130.37,126.48,129.29,131463300,
03/01/2012,129.60,132.61,127.18,131.80,127375500,
04/01/2012,131.56,132.68,126.92,131.80,131885100,
05/01/2012,131.85,133.14,122.82,123.70,150557000,
06/01/2012,122.13,128.71,120.19,128.45,135600100,
07/01/2012,128.62,130.99,124.77,129.69,103815400,
08/01/2012,130.47,133.02,127.51,130.88,97470500,
09/01/2012,130.74,136.48,129.63,134.05,81878000,
10/01/2012,134.62,136.44,130.09,130.60,112174400,
11/01/2012,131.02,132.63,124.42,130.10,137897200,
12/01/2012,130.69,133.73,128.54,130.58,120863400,
01/01/2013,132.99,140.22,132.74,138.41,107710000,
02/01/2013,139.29,141.31,137.60,140.28,109155500,
03/01/2013,139.89,145.53,139.17,145.32,116788600,
04/01/2013,145.30,148.66,144.05,148.02,164699300,
05/01/2013,147.56,155.14,146.58,151.10,136104200,
06/01/2013,151.54,153.36,145.17,148.55,168441100,
07/01/2013,149.52,156.03,148.25,154.84,109215600,
08/01/2013,155.89,156.24,147.37,147.85,125415600,
09/01/2013,148.88,157.06,147.61,151.00,135222900,
10/01/2013,151.00,156.87,146.96,155.29,176083200,
11/01/2013,155.58,161.58,154.87,160.72,114369600,
12/01/2013,160.76,165.51,157.07,165.47,138229600,
01/01/2014,164.79,165.29,155.85,156.75,186965800,
02/01/2014,156.57,163.77,153.12,163.02,150777800,
03/01/2014,161.59,164.89,160.38,164.24,139639600,
04/01/2014,164.67,166.06,159.88,165.45,129276700,
05/01/2014,165.30,167.29,163.04,166.93,90738100,
06/01/2014,167.25,169.58,166.58,167.89,81057400,
07/01/2014,168.29,171.32,165.29,165.29,92877300,
08/01/2014,164.80,171.35,163.13,170.88,91516600,
09/01/2014,170.94,173.32,168.94,170.07,110722300,
10/01/2014,169.91,173.63,158.27,173.45,224560300,
11/01/2014,173.57,178.69,172.46,178.10,82373700,
12/01/2014,177.54,180.71,170.74,177.88,153832700,
01/01/2015,178.65,179.23,171.06,171.45,158080300,
02/01/2015,171.95,182.24,170.10,181.19,89529200,
03/01/2015,181.37,182.68,175.46,177.58,117760900,
04/01/2015,177.54,181.54,175.57,178.18,108809200,
05/01/2015,179.21,183.35,177.25,180.11,84988500,
06/01/2015,181.00,181.94,175.45,175.82,111271300,
07/01/2015,177.57,181.25,173.78,176.68,95582100,
08/01/2015,176.82,176.87,150.57,165.18,209167000,
09/01/2015,161.40,169.44,159.18,162.62,177477100,
10/01/2015,163.01,177.83,159.93,176.49,143995600,
11/01/2015,176.87,179.60,172.15,177.23,104538100,
12/01/2015,177.92,179.04,170.89,173.99,152886500,
01/01/2016,171.05,171.74,154.38,164.37,221571000,
02/01/2016,163.39,167.95,155.26,164.96,154988900,
03/01/2016,166.01,177.65,165.71,176.64,82236900,
04/01/2016,175.71,181.42,174.68,177.59,74121500,
05/01/2016,178.08,179.27,173.67,177.65,59842900,
06/01/2016,176.98,180.18,170.37,179.00,86715500,
07/01/2016,178.78,186.08,176.96,184.13,65794400,
08/01/2016,184.35,186.88,182.31,183.94,57464400,
